filename	read_id	run_id	batch_id	channel	mux	start_time	duration	minknow_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
TestSample1_2.fast5	dcbab120-cb31-41a1-a6cc-9cdc57f652ce	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	293	2	6187.285750	3.746000	0	TRUE	6187.313250	2974	3.718500	1315	15.820132	3.043598	76.216660	9.594972	76.216660	9.594972
TestSample1_2.fast5	dcc95541-9fab-4776-afb7-14c097aae1de	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	229	3	6351.512000	2.996250	0	TRUE	6351.629500	2303	2.878750	1204	13.925091	3.182439	71.147621	9.413935	71.147621	9.413935
TestSample1_2.fast5	dcd64c33-8c23-41c0-a59d-9d25103c870f	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	138	1	5756.503000	1.532250	0	TRUE	5756.564250	1176	1.471000	551	12.690079	2.996234	76.759773	9.776009	76.759773	9.776009
TestSample1_2.fast5	dcde32b5-4a96-4282-8b0c-e7044e90b620	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	444	3	5291.927000	3.175000	0	TRUE	5291.957000	2516	3.145000	1197	15.178397	3.114514	75.673553	9.051860	75.673553	9.051860
TestSample1_2.fast5	dd0fa305-3253-4525-9741-c295d0285be0	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	424	2	45538.969500	6.153250	0	TRUE	45539.237000	4708	5.885750	1170	11.651297	2.549252	69.156212	8.870823	69.156212	8.870823
TestSample1_2.fast5	dd180412-4fb9-4dc1-a897-a81f2e258ab0	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	337	1	5333.427500	3.967000	0	TRUE	5333.922500	2777	3.472000	1235	13.954341	3.022502	74.768364	9.232898	74.768364	9.232898
TestSample1_2.fast5	dd43185a-ba2a-45b9-8c84-822b2e23a37a	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	492	4	5123.948000	3.464500	0	TRUE	5124.109250	2642	3.303250	1292	14.115132	3.120741	74.587326	9.413935	74.587326	9.413935
TestSample1_2.fast5	dd71d6f3-e996-42d1-bff7-d3b652b03d29	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	361	3	45508.730750	3.073000	0	TRUE	45508.929500	2299	2.874250	1212	14.879914	3.213506	72.414879	9.957047	72.414879	9.957047
TestSample1_2.fast5	dd891723-c3d7-4b99-ac7e-ce21ddbced2a	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	277	1	6104.114000	3.863750	0	TRUE	6104.425250	2842	3.552500	1341	14.315756	3.067988	75.311478	9.776009	75.311478	9.776009
TestSample1_2.fast5	dd8dd388-4e14-4113-aebc-e9d48d97393c	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	273	1	44931.879500	4.412250	0	TRUE	44932.165750	3300	4.126000	1216	12.735906	2.789918	62.457836	7.965637	62.457836	7.965637
TestSample1_2.fast5	dd99aca6-debb-48d0-90d1-5643889a0962	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	103	1	5222.116250	0.966500	0	FALSE	5222.177500	724	0.905250	415	8.321561	2.994757	69.337250	7.603562	69.337250	7.603562
TestSample1_2.fast5	ddbdd21b-a977-4104-8c0c-71abfc7d54ff	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	4	2	5897.956750	3.258500	0	TRUE	5898.223000	2393	2.992250	1191	14.701619	3.144284	72.776955	9.594972	72.776955	9.594972
TestSample1_2.fast5	ddc4c53e-8108-4362-95c6-73b294b9dcb7	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	373	3	45460.808250	3.673250	0	FALSE	45460.842000	2911	3.639500	1230	8.849877	2.826166	70.061394	9.413935	70.061394	9.413935
TestSample1_2.fast5	ddcb9656-ad2b-43b5-88f7-b57885e48519	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	99	2	5937.439250	3.438500	0	TRUE	5937.539250	2670	3.338500	1205	15.013387	3.050027	74.949402	9.232898	74.949402	9.232898
TestSample1_2.fast5	ddcbc3b5-d5a0-4afb-9b86-ba3553096d86	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	337	1	5462.716250	3.337500	0	TRUE	5463.078750	2380	2.975000	1206	13.363483	3.151999	73.682144	9.594972	73.682144	9.594972
TestSample1_2.fast5	dded47e0-ac2b-42e4-9974-00bd3b8ae4ec	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	373	3	6274.109000	2.991750	0	TRUE	6274.236500	2291	2.864250	1220	11.035091	3.140370	72.595917	8.508748	72.595917	8.508748
TestSample1_2.fast5	ddee453b-db76-49e9-b771-53cc222d441a	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	479	2	6328.872000	2.054250	0	TRUE	6329.303250	1298	1.623000	665	14.862866	3.123476	75.130440	9.232898	75.130440	9.232898
TestSample1_2.fast5	ddfeff69-5e2a-4db3-b24f-80d1d9953ad2	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	53	4	5211.954250	3.592000	0	TRUE	5212.475500	2456	3.070750	1288	12.745095	3.180825	73.139030	8.689786	73.139030	8.689786
TestSample1_2.fast5	ddff44e5-576e-434b-a730-1a5903d0deaf	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	492	1	5769.978750	3.784500	0	TRUE	5770.933750	2263	2.829500	1198	11.683949	3.152724	75.854591	9.232898	75.854591	9.232898
TestSample1_2.fast5	de031798-343d-43a1-b03f-724c511ef62a	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	57	3	5811.409250	4.069500	0	TRUE	5811.903000	2860	3.575750	1259	13.291605	2.989868	76.216660	9.957047	76.216660	9.957047
TestSample1_2.fast5	de0b3f1b-56e1-4732-9aac-ef8fea11e1b2	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	308	1	5811.835750	3.573500	0	TRUE	5812.249500	2527	3.159750	1225	12.998296	3.103252	73.139030	10.500157	73.139030	10.500157
TestSample1_2.fast5	de10b160-d66d-4c46-9374-2f958ef1c888	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	385	3	6296.433250	3.055750	0	TRUE	6296.494500	2395	2.994500	1244	13.387322	3.178688	77.121849	9.232898	77.121849	9.232898
TestSample1_2.fast5	de11de0e-7d13-4d40-821b-b7c415382bb6	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	389	1	6135.975250	3.350500	0	TRUE	6136.360250	2372	2.965500	1244	15.411169	3.205968	71.871773	9.776009	71.871773	9.776009
TestSample1_2.fast5	de28bdf2-407c-4ca6-9dbd-ecc12e9674f6	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	443	2	45430.682750	3.350000	0	TRUE	45430.719000	2651	3.313750	1289	13.713913	3.086505	71.147621	9.232898	71.147621	9.232898
TestSample1_2.fast5	de55b6cc-2534-402d-8ba9-574a9470d14a	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	137	3	5863.054750	2.445750	0	TRUE	5863.114750	1908	2.385750	1202	15.768092	3.391985	77.121849	9.957047	77.121849	9.957047
TestSample1_2.fast5	de641a79-8c18-478a-b333-37dfcaf71fb1	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	340	3	5705.995250	3.818000	0	TRUE	5706.245250	2854	3.568000	1292	17.249516	3.070886	72.414879	9.232898	72.414879	9.232898
TestSample1_2.fast5	de643b01-7ed8-4e59-81fb-ec8379a5ef23	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	252	3	45834.732750	3.301250	0	TRUE	45834.822750	2569	3.211250	1282	12.494484	3.100674	65.535469	8.689786	65.535469	8.689786
TestSample1_2.fast5	de6e9187-14fd-4796-9044-964eecfcac32	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	231	2	5323.501500	3.379250	0	TRUE	5323.717750	2530	3.163000	1267	10.191298	3.035126	72.233841	9.051860	72.233841	9.051860
TestSample1_2.fast5	de7c6bb9-dd18-4b6b-89e0-309ee0f03dac	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	219	1	45192.873250	3.740750	0	TRUE	45192.929500	2947	3.684500	1511	11.703063	3.099162	68.432060	9.776009	68.432060	9.776009
TestSample1_2.fast5	de85e464-affd-4c7e-b4e7-a4adfae6e6a1	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	373	3	44677.019500	3.624500	0	TRUE	44677.155750	2790	3.488250	1221	11.697233	2.958771	70.785545	9.051860	70.785545	9.051860
TestSample1_2.fast5	decf12d2-2a3e-4b49-82ea-42cc7015187c	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	80	2	5056.030250	3.613500	0	TRUE	5056.467750	2540	3.176000	1243	12.134296	3.055223	72.957993	9.232898	72.957993	9.232898
TestSample1_2.fast5	def43ed8-0317-4474-81ed-2ba449934eff	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	415	3	44661.791250	2.921250	0	TRUE	44661.941250	2217	2.771250	1172	9.339042	3.061031	72.776955	9.594972	72.776955	9.594972
TestSample1_2.fast5	def75094-354c-4db6-9afe-a7332c1e9b23	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	208	1	6110.192250	3.195500	0	TRUE	6110.214750	2538	3.173000	1268	15.701308	3.181345	72.595917	8.870823	72.595917	8.870823
TestSample1_2.fast5	def78d1c-f793-4df7-8efe-f5ba004a81f3	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	262	2	45224.607750	2.702500	0	TRUE	45224.607750	2162	2.702500	1216	14.284537	3.295837	72.595917	9.051860	72.595917	9.051860
TestSample1_2.fast5	df128229-b6fb-4a18-a767-f37509f2ab73	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	236	1	6157.383000	3.235000	0	TRUE	6157.714250	2323	2.903750	1233	12.827336	3.190492	75.854591	9.413935	75.854591	9.413935
TestSample1_2.fast5	df1d2788-c0c9-491e-8ab4-8077fc476ba4	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	18	3	5275.026500	1.757000	0	FALSE	5275.117750	1332	1.665750	948	8.762118	3.356012	74.768364	9.413935	74.768364	9.413935
TestSample1_2.fast5	df39a423-dfea-4771-a553-7bfdc1b942e3	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	57	3	5746.343750	2.935750	0	TRUE	5746.463750	2252	2.815750	1234	12.252828	3.194950	77.121849	9.776009	77.121849	9.776009
TestSample1_2.fast5	df3b3701-2df4-43be-9073-912d3bba3adb	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	248	2	5928.400500	3.067000	0	TRUE	5928.683000	2227	2.784500	1210	14.934151	3.264348	70.604507	9.051860	70.604507	9.051860
TestSample1_2.fast5	df6d55a0-e0ae-41d4-960e-a1dbf82c169c	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	119	2	45664.705000	2.939250	0	FALSE	45665.070000	2059	2.574250	1211	8.310311	3.108783	71.328659	8.508748	71.328659	8.508748
TestSample1_2.fast5	df7221e0-1099-400c-8838-6c63b0bed06b	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	425	1	5789.287000	3.837000	0	TRUE	5789.397000	2981	3.727000	1230	16.860584	3.000607	76.759773	9.957047	76.759773	9.957047
TestSample1_2.fast5	df80d879-0616-4cd3-abce-5ff20887fabb	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	139	2	6245.938500	1.472500	0	TRUE	6246.182250	983	1.228750	536	9.567731	3.114517	74.768364	9.776009	74.768364	9.776009
TestSample1_2.fast5	df82a690-b89e-4a91-9aea-b376073dfce8	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	170	4	45326.318000	1.665000	0	TRUE	45326.563000	1136	1.420000	502	19.269436	3.032621	78.027031	9.594972	78.027031	9.594972
TestSample1_2.fast5	dfa08fc1-8cc8-409e-96b9-ad9d36e11538	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	41	2	5944.150000	2.813750	0	TRUE	5944.275000	2151	2.688750	1195	12.206007	3.236469	76.940811	9.776009	76.940811	9.776009
TestSample1_2.fast5	dfa53e53-6800-47a7-b759-c732b6e19f54	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	221	3	45270.915000	2.944000	0	TRUE	45271.260000	2079	2.599000	1234	13.191976	3.283490	75.311478	9.051860	75.311478	9.051860
TestSample1_2.fast5	dfb8775f-dd28-4ae6-9cc5-419c40adaca1	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	311	1	5398.212500	3.058500	0	TRUE	5398.247500	2418	3.023500	1236	13.610595	3.166430	77.483925	9.413935	77.483925	9.413935
TestSample1_2.fast5	dfcc2f50-0b3a-45e8-a57e-260bfa47b25b	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	59	1	45583.747500	4.061000	0	TRUE	45584.101250	2965	3.707250	1239	16.116999	2.978581	63.363022	8.327711	63.363022	8.327711
TestSample1_2.fast5	dfccc3a0-cafe-4b09-ae3c-c590a1706b34	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	322	1	45352.168750	3.957000	0	TRUE	45352.738750	2709	3.387000	1289	12.759055	3.043240	70.061394	9.051860	70.061394	9.051860
TestSample1_2.fast5	dfdaff30-5886-49ea-b515-ff6d8de7e744	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	125	1	45862.514750	3.060000	0	TRUE	45862.703500	2297	2.871250	1224	12.508492	3.172457	75.673553	9.232898	75.673553	9.232898
TestSample1_2.fast5	dfdb93e5-88c9-42f7-b2c5-6576e16f2846	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	430	3	44741.748750	3.000750	0	TRUE	44742.026250	2178	2.723250	785	16.194153	2.880725	74.406288	9.232898	74.406288	9.232898
TestSample1_2.fast5	dfddfd4a-553e-435a-90d0-88dbafcba788	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	180	4	45893.594500	3.351750	0	TRUE	45893.895750	2440	3.050500	1237	12.747215	3.124548	66.078575	8.689786	66.078575	8.689786
TestSample1_2.fast5	dfeb9ed7-f553-472e-afb6-b3697b3d6731	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	68	4	5109.695250	3.272000	0	TRUE	5109.794000	2538	3.173250	1273	15.422471	3.170559	73.682144	8.689786	73.682144	8.689786
TestSample1_2.fast5	dfebc196-dabc-44c4-840f-17ad3233360d	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	29	2	5029.252250	3.654000	0	TRUE	5029.544750	2689	3.361500	1290	15.797547	3.110222	72.052803	9.232898	72.052803	9.232898
TestSample1_2.fast5	dff3e5c0-bc18-4b80-8d28-9ac391ef990f	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	38	1	45408.068500	1.206500	0	TRUE	45408.102250	938	1.172750	369	10.870804	2.779501	74.406288	8.870823	74.406288	8.870823
TestSample1_2.fast5	e012104a-ca6e-41e9-ae47-44988f27a7b0	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	90	3	45320.107250	3.527500	0	TRUE	45320.272250	2690	3.362500	1274	13.212934	3.075007	76.216660	9.957047	76.216660	9.957047
TestSample1_2.fast5	e031bb2c-d363-4cc2-9646-360328748932	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	309	1	5391.334000	1.274250	0	TRUE	5391.650250	766	0.958000	398	13.157762	3.095330	75.673553	9.051860	75.673553	9.051860
TestSample1_2.fast5	e046924e-909c-46f2-a746-951fce70cc1c	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	254	3	6086.683500	3.403000	0	TRUE	6086.887250	2559	3.199250	1252	14.310276	3.120398	73.320068	9.594972	73.320068	9.594972
TestSample1_2.fast5	e05cab5e-350b-4d56-bf31-7ffc67d33b95	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	206	3	5882.184500	3.013250	0	TRUE	5882.290750	2325	2.907000	1270	15.853737	3.260949	72.414879	10.500157	72.414879	10.500157
TestSample1_2.fast5	e0644dc5-2348-4447-aff5-d3aabf1cb6c8	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	375	3	5166.950000	4.255500	0	TRUE	5167.005000	3360	4.200500	1607	14.326062	3.116562	72.957993	9.232898	72.957993	9.232898
TestSample1_2.fast5	e0712214-a006-4aec-a299-1a41c91ee1cf	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	283	1	5232.143500	3.237000	0	TRUE	5232.211000	2535	3.169500	1245	14.287695	3.123826	74.587326	9.413935	74.587326	9.413935
TestSample1_2.fast5	e075a59b-77e4-4805-96fd-80579446dee0	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	257	2	5133.996500	3.378000	0	TRUE	5134.061500	2650	3.313000	1234	14.965624	3.047097	75.311478	9.232898	75.311478	9.232898
TestSample1_2.fast5	e07a52ab-0a84-4683-ad23-b4d67684f78d	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	84	3	5445.396750	3.431250	0	TRUE	5445.501750	2661	3.326250	1317	15.097232	3.149101	70.604507	9.232898	70.604507	9.232898
TestSample1_2.fast5	e07ec5c5-201e-426a-a99b-4206ea620a40	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	28	2	44939.874500	1.471000	0	TRUE	44939.889500	1164	1.456000	650	11.180863	3.059715	78.027031	8.689786	78.027031	8.689786
TestSample1_2.fast5	e09568eb-0da3-4956-bc91-ca2f2df4b664	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	232	1	44746.974250	3.331000	0	TRUE	44747.015500	2631	3.289750	1267	15.691967	3.088543	75.311478	9.776009	75.311478	9.776009
TestSample1_2.fast5	e09ae4d9-fe23-448d-be95-33e63cb75fd9	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	371	3	45759.221250	2.735750	0	TRUE	45759.337500	2095	2.619500	1209	14.686555	3.342573	74.768364	9.232898	74.768364	9.232898
TestSample1_2.fast5	e0a3e1c2-1649-43f3-b09e-7a4928f4d279	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	352	3	5225.361250	7.388500	0	TRUE	5225.721250	5622	7.028500	1254	9.578068	2.455185	72.595917	9.413935	72.595917	9.413935
TestSample1_2.fast5	e0b89940-a574-449c-8265-39d38693fab2	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	90	2	6226.331000	2.734500	0	TRUE	6226.433500	2105	2.632000	1237	10.678992	3.261749	74.768364	9.232898	74.768364	9.232898
TestSample1_2.fast5	e0d7566f-dfb7-45c0-b9f6-467b94e10df2	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	158	2	5973.017750	2.850000	0	TRUE	5973.069000	2239	2.798750	1184	10.378366	3.093261	71.871773	9.413935	71.871773	9.413935
TestSample1_2.fast5	e0e2ef8c-418a-4b66-8ce3-0060a2210eba	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	356	1	6364.682000	2.911000	0	TRUE	6364.698250	2315	2.894750	1191	15.079247	3.200921	76.035622	9.413935	76.035622	9.413935
TestSample1_2.fast5	e0fb9ff3-fdd1-4da4-bc45-c27b867f21a9	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	485	1	6186.019250	3.186750	0	TRUE	6186.054250	2521	3.151750	1229	16.920427	3.151431	73.320068	9.957047	73.320068	9.957047
TestSample1_2.fast5	e114de17-7153-416f-b67c-422dc0b89845	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	122	3	45219.409250	2.850500	0	TRUE	45219.506750	2202	2.753000	1266	9.517497	3.103526	74.406288	9.594972	74.406288	9.594972
TestSample1_2.fast5	e12907d4-e06e-48d0-b3a6-728228c947dd	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	411	2	5858.010500	4.019000	0	TRUE	5858.119250	3128	3.910250	1291	12.872905	2.890995	74.406288	11.586381	74.406288	11.586381
TestSample1_2.fast5	e130d2fa-3438-4070-9f83-83a93f8bcdab	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	462	2	5172.088750	3.549250	0	TRUE	5172.357500	2624	3.280500	1244	15.182113	3.111424	74.225250	9.413935	74.225250	9.413935
TestSample1_2.fast5	e1453f5e-5721-4734-ae6e-7f248227d2eb	20e5f24723fa8df117afef2fbcd04f61f053acdb	0	107	2	5966.804750	3.210000	0	TRUE	5966.836000	2543	3.178750	1187	14.531118	3.090700	74.406288	9.051860	74.406288	9.051860
